"mad_gdppc","cname","bicc_gmi","bmr_dem","ht_region"
1934.55505371094,"Afghanistan",155,"No","South Asia"
11104.166015625,"Albania",79,"Yes","Eastern Europe and post Soviet Uniono"
14228.025390625,"Algeria",249,"No","North Africa & the Middle East"
NA,"Andorra",NA,"Yes","Western Europe and North America"
7771.44189453125,"Angola",186,"No","Sub-Saharan Africa"
NA,"Antigua and Barbuda",NA,"Yes","The Caribbean"
16628.0546875,"Azerbaijan",250,"No","Eastern Europe and post Soviet Uniono"
18556.3828125,"Argentina",91,"Yes","Latin America"
49830.80078125,"Australia",151,"Yes","Western Europe and North America"
42988.0703125,"Austria",111,"Yes","Western Europe and North America"
NA,"Bahamas (the)",NA,"Yes","The Caribbean"
39498.765625,"Bahrain",305,"No","North Africa & the Middle East"
4099.2529296875,"Bangladesh",101,"No","South Asia"
11454.4248046875,"Armenia",310,"Yes","Eastern Europe and post Soviet Uniono"
11995.1865234375,"Barbados",NA,"Yes","The Caribbean"
39756.203125,"Belgium",123,"Yes","Western Europe and North America"
NA,"Bhutan",NA,"No","South Asia"
6695.7744140625,"Bolivia (Plurinational State of)",138,"Yes","Latin America"
10460.5205078125,"Bosnia and Herzegovina",123,"Yes","Eastern Europe and post Soviet Uniono"
15842.1298828125,"Botswana",211,"Yes","Sub-Saharan Africa"
14033.5654296875,"Brazil",105,"Yes","Latin America"
NA,"Belize",82,"Yes","The Caribbean"
NA,"Solomon Islands",NA,"Yes","The Pacfic"
NA,"Brunei Darussalam",272,"No","South-East Asia"
18444.259765625,"Bulgaria",147,"Yes","Eastern Europe and post Soviet Uniono"
5838.21728515625,"Myanmar",NA,"No","South-East Asia"
651.35888671875,"Burundi",155,"No","Sub-Saharan Africa"
18727.318359375,"Belarus",230,"No","Eastern Europe and post Soviet Uniono"
3628.56103515625,"Cambodia",223,"No","South-East Asia"
2888.0458984375,"Cameroon",80,"No","Sub-Saharan Africa"
44868.7421875,"Canada",123,"Yes","Western Europe and North America"
6831.2158203125,"Cabo Verde",50,"Yes","Sub-Saharan Africa"
623.488891601562,"Central African Republic (the)",122,"No","Sub-Saharan Africa"
11662.90625,"Sri Lanka",185,"Yes","South Asia"
2046.36315917969,"Chad",178,"No","Sub-Saharan Africa"
22104.765625,"Chile",170,"Yes","Latin America"
13101.7060546875,"China",121,"No","East Asia"
44663.86328125,"Taiwan (Province of China)",NA,"Yes","East Asia"
13545.0498046875,"Colombia",155,"Yes","Latin America"
1724.42065429688,"Comoros (the)",NA,"No","Sub-Saharan Africa"
5714.591796875,"Congo (the)",172,"No","Sub-Saharan Africa"
